Date,Age,Tm,Opp,W_or_L,MP,PTS
2004-02-01,19-033,CLE,WAS,W (+4),43:24,38
2004-02-03,19-035,CLE,DET,W (+3),38:11,12
2004-02-04,19-036,CLE,LAL,L (-5),43:05,32
2004-02-06,19-038,CLE,MIN,L (-11),44:35,14
2004-02-07,19-039,CLE,WAS,L (-18),34:04,14
2004-02-09,19-041,CLE,BOS,W (+8),43:18,24
2004-02-11,19-043,CLE,NJN,L (-20),29:32,9
2004-02-18,19-050,CLE,DAL,L (-16),33:39,16
2004-02-20,19-052,CLE,SAS,W (+2),39:37,32
2004-02-22,19-054,CLE,NYK,W (+6),43:47,22
2004-02-23,19-055,CLE,NOH,W (+4),36:36,21
2004-02-25,19-057,CLE,HOU,L (-6),38:38,11
2004-02-27,19-059,CLE,ORL,W (+5),49:13,30
2004-03-01,19-062,CLE,CHI,L (-11),40:48,18
2004-03-03,19-064,CLE,ATL,W (+32),27:36,24
2004-03-05,19-066,CLE,NOH,W (+3),37:47,19
2004-03-06,19-067,CLE,MIL,W (+9),42:42,24
2004-03-08,19-069,CLE,ATL,W (+6),45:06,34
2004-03-10,19-071,CLE,TOR,W (+14),33:46,14
2004-03-14,19-075,CLE,IND,W (+3),44:09,26
2004-03-16,19-077,CLE,CHI,W (+24),32:08,17
2004-03-19,19-080,CLE,UTA,L (-9),34:16,14
2004-03-21,19-082,CLE,DET,L (-20),36:45,15
2004-03-23,19-084,CLE,PHO,L (-17),40:58,25
2004-03-26,19-087,CLE,PHI,L (-15),32:46,16
2004-03-27,19-088,CLE,NJN,W (+3),43:48,41
2004-03-29,19-090,CLE,SAS,L (-8),31:40,18
2004-03-30,19-091,CLE,DAL,L (-17),42:05,28
2004-04-02,19-094,CLE,MIL,L (-18),36:38,20
2004-04-03,19-095,CLE,GSW,L (-3),46:15,34
2004-04-06,19-098,CLE,TOR,L (-1),46:00,21
2004-04-07,19-099,CLE,MEM,L (-18),36:35,14
2004-04-09,19-101,CLE,MIA,L (-15),42:13,24
2004-04-10,19-102,CLE,MIA,W (+11),31:38,10
2004-04-12,19-104,CLE,MIL,W (+4),45:18,27
2004-04-14,19-106,CLE,NYK,W (+10),35:05,17
2004-11-03,19-309,CLE,IND,L (-5),50:56,28
2004-11-04,19-310,CLE,MIA,L (-6),42:20,21
2004-11-06,19-312,CLE,MIL,L (-14),41:53,31
2004-11-09,19-315,CLE,ATL,W (+14),48:00,25
2004-11-10,19-316,CLE,PHO,W (+5),48:21,38
2004-11-13,19-319,CLE,WAS,W (+31),37:24,24
2004-11-15,19-321,CLE,GSW,W (+11),41:58,33
2004-11-18,19-324,CLE,CHA,W (+17),29:06,19
2004-11-20,19-326,CLE,CHA,W (+16),37:49,25
2004-11-21,19-327,CLE,NYK,L (-10),40:41,13
2004-11-24,19-330,CLE,DET,W (+16),37:30,43
2004-11-26,19-332,CLE,BOS,W (+2),42:48,20
2004-11-27,19-333,CLE,CHI,W (+22),31:55,26
2004-11-29,19-335,CLE,LAC,L (-12),42:19,22
2004-12-01,19-337,CLE,PHO,L (-19),40:47,15
2004-12-02,19-338,CLE,DEN,W (+19),41:10,17
2004-12-04,19-340,CLE,TOR,W (+8),42:50,27
2004-12-07,19-343,CLE,NJN,W (+6),46:05,27
2004-12-08,19-344,CLE,CHI,L (-28),37:18,19
2004-12-11,19-347,CLE,SAS,L (-19),41:13,23
2004-12-13,19-349,CLE,MEM,W (+6),45:49,31
2004-12-15,19-351,CLE,POR,W (+24),37:09,25
2004-12-16,19-352,CLE,DET,L (-12),45:04,11
2004-12-18,19-354,CLE,BOS,L (-7),40:32,31
2004-12-21,19-357,CLE,MIN,W (+10),43:11,26
2004-12-22,19-358,CLE,NJN,L (-2),42:38,23
2004-12-26,19-362,CLE,NOH,W (+9),44:40,22
2004-12-28,19-364,CLE,ATL,W (+9),46:20,40
2004-12-29,19-365,CLE,HOU,L (-11),17:23,3
2005-01-03,20-004,CLE,CHA,W (+11),40:18,26
2005-01-05,20-006,CLE,ATL,W (+16),39:39,20
2005-01-08,20-009,CLE,NYK,W (+25),32:42,22
2005-01-11,20-012,CLE,CHA,W (+2),49:02,29
2005-01-13,20-014,CLE,LAL,L (-4),44:20,28
2005-01-15,20-016,CLE,UTA,W (+13),41:18,27
2005-01-16,20-017,CLE,SEA,L (-8),44:09,35
2005-01-19,20-020,CLE,POR,W (+6),43:47,27
2005-01-20,20-021,CLE,SAC,L (-27),36:37,18
2005-01-22,20-023,CLE,GSW,W (+18),43:15,28
2005-01-24,20-025,CLE,WAS,L (-9),48:00,31
2005-01-26,20-027,CLE,MEM,W (+3),41:47,27
2005-02-01,20-033,CLE,ORL,L (-3),43:20,28
2005-02-03,20-035,CLE,MIA,L (-12),45:57,31
2005-02-05,20-037,CLE,ORL,W (+9),45:36,30
2005-02-08,20-040,CLE,TOR,W (+13),36:10,15
2005-02-11,20-043,CLE,DEN,L (-5),43:05,35
2005-02-13,20-045,CLE,LAL,W (+14),45:42,25
2005-02-16,20-048,CLE,ATL,W (+22),37:00,28
2005-02-17,20-049,CLE,MIN,L (-6),41:02,26
2005-02-23,20-055,CLE,CHI,W (+9),44:19,27
2005-02-25,20-057,CLE,IND,L (-24),40:29,21
2005-02-27,20-059,CLE,NJN,L (-6),45:05,28
2005-02-28,20-060,CLE,SAS,L (-2),44:41,20
2005-03-02,20-062,CLE,SEA,L (-17),40:51,32
2005-03-04,20-064,CLE,PHI,L (-9),39:57,34
2005-03-06,20-066,CLE,MIA,L (-20),40:14,23
2005-03-08,20-068,CLE,ORL,W (+19),40:37,23
2005-03-13,20-073,CLE,IND,W (+12),42:51,35
2005-03-15,20-075,CLE,UTA,W (+19),34:11,36
2005-03-16,20-076,CLE,MIL,L (-8),45:07,34
2005-03-18,20-078,CLE,PHI,L (-12),46:00,16
2005-03-20,20-080,CLE,TOR,L (-7),48:00,56
2005-03-22,20-082,CLE,DET,W (+15),42:56,29
2005-03-24,20-084,CLE,HOU,L (-19),41:47,19
2005-03-26,20-086,CLE,DAL,L (-31),35:39,19
2005-03-28,20-088,CLE,NOH,W (+1),53:00,44
2005-03-29,20-089,CLE,LAC,W (+10),40:47,22
2005-03-31,20-091,CLE,CHI,L (-12),53:00,26
2005-04-01,20-092,CLE,SAC,L (-19),44:09,35
2005-04-03,20-094,CLE,DAL,W (+20),48:00,37
2005-04-05,20-096,CLE,NJN,L (-31),39:50,24
2005-04-06,20-097,CLE,IND,L (-21),33:17,20
2005-04-08,20-099,CLE,PHI,L (-5),48:00,37
2005-04-09,20-100,CLE,MIL,W (+17),46:35,40
2005-04-11,20-102,CLE,ORL,W (+8),48:00,33
2005-04-14,20-105,CLE,NYK,L (-6),41:31,27
2005-04-15,20-106,CLE,WAS,L (-8),48:00,38
2005-04-17,20-108,CLE,DET,L (-3),45:12,37
2005-04-19,20-110,CLE,BOS,W (+14),46:06,32
2005-04-20,20-111,CLE,TOR,W (+9),48:00,27
2005-11-02,20-307,CLE,NOK,W (+22),33:23,31
2005-11-04,20-309,CLE,SAS,L (-26),36:34,20
2005-11-05,20-310,CLE,MEM,L (-7),40:51,36
2005-11-07,20-312,CLE,TOR,W (+12),36:28,27
2005-11-09,20-314,CLE,SEA,W (+27),35:38,31
2005-11-11,20-316,CLE,MEM,W (+19),25:40,16
2005-11-13,20-318,CLE,ORL,W (+8),48:54,26
2005-11-15,20-320,CLE,WAS,W (+15),42:26,37
2005-11-18,20-323,CLE,ORL,W (+18),33:56,16
2005-11-19,20-324,CLE,PHI,W (+3),46:51,36
2005-11-22,20-327,CLE,BOS,W (+22),40:59,36
2005-11-24,20-329,CLE,IND,L (-22),43:02,19
2005-11-26,20-331,CLE,MIN,L (-4),44:04,38
2005-11-30,20-335,CLE,LAC,W (+7),49:56,28
2005-12-02,20-337,CLE,SEA,L (-7),45:07,34
2005-12-03,20-338,CLE,LAC,L (-12),44:41,30
2005-12-06,20-341,CLE,SAC,W (+5),44:19,30
2005-12-09,20-344,CLE,NJN,L (-9),44:49,32
2005-12-10,20-345,CLE,MIL,L (-5),42:48,52
2005-12-13,20-348,CLE,ATL,L (-6),45:08,39
2005-12-15,20-350,CLE,DEN,W (+9),45:06,26
2005-12-17,20-352,CLE,MIA,W (+8),46:23,41
2005-12-20,20-355,CLE,UTA,W (+25),28:55,25
2005-12-22,20-357,CLE,CHI,W (+8),43:51,37
2005-12-23,20-358,CLE,IND,W (+5),43:51,14
2005-12-26,20-361,CLE,CHI,W (+11),44:58,32
2005-12-27,20-362,CLE,NJN,L (-5),40:18,31
2005-12-31,21-001,CLE,DET,W (+13),44:33,30
2006-01-04,21-005,CLE,MIL,W (+7),45:42,32
2006-01-05,21-006,CLE,HOU,L (-9),44:15,32
2006-01-07,21-008,CLE,MIL,W (+8),45:12,35
2006-01-10,21-011,CLE,NYK,L (-8),46:00,36
2006-01-12,21-013,CLE,LAL,L (-1),40:06,28
2006-01-14,21-015,CLE,PHO,L (-9),43:45,46
2006-01-15,21-016,CLE,POR,L (-2),41:19,29
2006-01-18,21-019,CLE,DEN,L (-1),41:35,24
2006-01-20,21-021,CLE,GSW,L (-20),35:12,14
2006-01-21,21-022,CLE,UTA,W (+18),42:47,51
2006-01-24,21-025,CLE,IND,W (+30),35:22,23
2006-01-25,21-026,CLE,ATL,W (+9),45:54,38
2006-01-27,21-028,CLE,IND,W (+4),45:06,30
2006-01-29,21-030,CLE,PHO,W (+7),42:45,44
2006-01-30,21-031,CLE,CHA,W (+12),31:34,30
2006-02-01,21-033,CLE,NJN,W (+6),44:26,26
2006-02-02,21-034,CLE,MIA,L (-28),39:18,29
2006-02-04,21-036,CLE,PHI,L (-5),47:11,31
2006-02-06,21-038,CLE,MIL,W (+3),45:21,22
2006-02-08,21-040,CLE,MIN,W (+6),45:38,35
2006-02-10,21-042,CLE,WAS,L (-12),45:23,18
2006-02-11,21-043,CLE,GSW,L (-8),43:48,33
2006-02-13,21-045,CLE,SAS,W (+14),40:43,44
2006-02-15,21-047,CLE,BOS,W (+4),53:55,43
2006-02-21,21-053,CLE,ORL,W (+13),42:51,26
2006-02-22,21-054,CLE,PHI,L (-9),43:07,33
2006-02-24,21-056,CLE,WAS,L (-8),47:46,25
2006-02-26,21-058,CLE,DET,L (-12),37:46,22
2006-02-27,21-059,CLE,DET,L (-12),46:34,26
2006-03-01,21-061,CLE,SAC,L (-7),44:40,19
2006-03-02,21-062,CLE,CHI,W (+1),46:37,33
2006-03-05,21-065,CLE,CHI,W (+19),46:27,37
2006-03-07,21-067,CLE,TOR,W (+7),43:44,17
2006-03-08,21-068,CLE,TOR,W (+1),44:17,35
2006-03-10,21-070,CLE,ORL,L (-29),38:58,25
2006-03-12,21-072,CLE,MIA,L (-6),45:17,47
2006-03-14,21-074,CLE,DAL,L (-4),44:58,36
2006-03-17,21-077,CLE,POR,W (+15),44:10,27
2006-03-19,21-079,CLE,LAL,W (+1),46:52,29
2006-03-22,21-082,CLE,CHA,W (+2),50:11,37
2006-03-24,21-084,CLE,BOS,W (+12),44:51,36
2006-03-26,21-086,CLE,HOU,W (+2),48:56,36
2006-03-29,21-089,CLE,DAL,W (+13),43:26,46
2006-04-01,21-092,CLE,MIA,W (+7),45:29,47
2006-04-02,21-093,CLE,CHA,W (+4),41:17,35
2006-04-04,21-095,CLE,PHI,W (+33),34:40,37
2006-04-05,21-096,CLE,NYK,L (-2),44:48,36
2006-04-08,21-099,CLE,NJN,W (+6),44:09,37
2006-04-10,21-101,CLE,NOK,W (+2),42:07,32
2006-04-12,21-103,CLE,DET,L (-23),31:21,22
2006-04-16,21-107,CLE,WAS,L (-12),29:32,17
2006-11-01,21-306,CLE,WAS,W (+3),40:38,26
2006-11-03,21-308,CLE,SAS,W (+7),41:53,35
2006-11-04,21-309,CLE,CHA,L (-4),38:06,16
2006-11-07,21-312,CLE,ATL,L (-9),47:17,34
2006-11-09,21-314,CLE,CHI,W (+19),37:50,19
2006-11-11,21-316,CLE,BOS,W (+1),43:32,38
2006-11-13,21-318,CLE,NYK,W (+6),41:20,29
2006-11-15,21-320,CLE,POR,W (+13),38:54,32
2006-11-17,21-322,CLE,MIN,W (+16),40:30,37
2006-11-18,21-323,CLE,WAS,L (-12),33:20,20
2006-11-21,21-326,CLE,MEM,W (+3),41:59,15
2006-11-22,21-327,CLE,TOR,L (-8),39:55,30
2006-11-24,21-329,CLE,IND,L (-10),42:26,30
2006-11-25,21-330,CLE,PHI,W (+13),40:50,25
2006-11-29,21-334,CLE,NYK,L (-3),41:11,27
2006-12-01,21-336,CLE,ATL,W (+11),42:55,31
2006-12-02,21-337,CLE,HOU,L (-18),35:44,21
2006-12-06,21-341,CLE,TOR,W (+4),40:30,26
2006-12-09,21-344,CLE,IND,W (+32),31:52,27
2006-12-11,21-346,CLE,NOK,L (-6),41:36,15
2006-12-13,21-348,CLE,CHA,W (+3),41:37,22
2006-12-15,21-350,CLE,SEA,W (+22),33:37,22
2006-12-16,21-351,CLE,ORL,L (-7),41:03,29
2006-12-20,21-355,CLE,NJN,L (-2),40:11,37
2006-12-21,21-356,CLE,DET,L (-16),43:00,26
2006-12-23,21-358,CLE,ORL,W (+3),42:54,32
2006-12-27,21-362,CLE,ATL,W (+13),39:31,27
2006-12-29,21-364,CLE,MIL,W (+10),44:01,32
2006-12-30,22-000,CLE,CHI,L (-7),40:19,33
2007-01-02,22-003,CLE,SAS,W (+4),40:14,19
2007-01-03,22-004,CLE,BOS,W (+3),44:47,32
2007-01-05,22-006,CLE,MIL,W (+9),42:50,8
2007-01-06,22-007,CLE,NJN,W (+5),44:00,19
2007-01-09,22-010,CLE,SAC,W (+10),43:25,34
2007-01-11,22-012,CLE,PHO,L (-19),38:49,34
2007-01-13,22-014,CLE,LAC,W (+12),42:02,28
2007-01-16,22-017,CLE,SEA,L (-5),43:34,30
2007-01-17,22-018,CLE,POR,L (-18),35:07,23
2007-01-19,22-020,CLE,DEN,L (-11),43:52,30
2007-01-20,22-021,CLE,GSW,W (+2),45:52,32
2007-01-22,22-023,CLE,ORL,L (-11),43:23,18
2007-01-24,22-025,CLE,PHI,L (-3),53:10,39
2007-01-28,22-029,CLE,PHO,L (-15),42:04,30
2007-02-01,22-033,CLE,MIA,L (-3),35:35,17
2007-02-02,22-034,CLE,CHA,W (+20),35:39,18
2007-02-04,22-036,CLE,DET,L (-12),43:17,21
2007-02-07,22-039,CLE,LAC,W (+17),36:19,11
2007-02-09,22-041,CLE,MIA,W (+24),41:08,29
2007-02-11,22-043,CLE,LAL,W (+9),38:21,18
2007-02-14,22-046,CLE,UTA,L (-1),42:39,23
2007-02-15,22-047,CLE,LAL,W (+6),39:48,38
2007-02-21,22-053,CLE,TOR,W (+1),36:49,29
2007-02-22,22-054,CLE,CHI,L (-6),42:58,29
2007-02-25,22-057,CLE,MIA,L (-5),41:30,29
2007-02-27,22-059,CLE,NOK,W (+8),42:50,35
2007-03-01,22-061,CLE,DAL,L (-3),39:58,39
2007-03-03,22-063,CLE,TOR,W (+23),37:22,36
2007-03-05,22-065,CLE,HOU,W (+6),41:38,32
2007-03-07,22-067,CLE,DET,W (+4),50:40,41
2007-03-10,22-070,CLE,MIL,W (+2),36:30,32
2007-03-11,22-071,CLE,IND,W (+11),38:42,26
2007-03-14,22-074,CLE,MEM,W (+22),29:35,29
2007-03-17,22-077,CLE,UTA,W (+9),43:40,24
2007-03-20,22-080,CLE,CHA,L (-8),46:33,37
2007-03-21,22-081,CLE,DAL,L (-8),45:27,31
2007-03-23,22-083,CLE,NYK,W (+22),38:16,21
2007-03-25,22-085,CLE,DEN,L (-12),40:49,18
2007-03-27,22-087,CLE,IND,W (+11),40:08,26
2007-03-28,22-088,CLE,NYK,L (-4),43:55,24
2007-03-31,22-091,CLE,CHI,W (+4),47:24,39
2007-04-03,22-094,CLE,MIN,W (+13),41:49,31
2007-04-05,22-096,CLE,MIA,L (-4),48:36,35
2007-04-06,22-097,CLE,WAS,W (+5),44:25,25
2007-04-08,22-099,CLE,DET,L (-5),43:06,20
2007-04-12,22-103,CLE,NJN,W (+18),35:15,35
2007-04-14,22-105,CLE,ATL,W (+34),31:57,23
2007-04-17,22-108,CLE,PHI,W (+6),36:03,18
2007-04-18,22-109,CLE,MIL,W (+13),39:58,24
2007-10-31,22-305,CLE,DAL,L (-18),36:09,10
2007-11-02,22-307,CLE,NYK,W (+4),44:25,45
2007-11-04,22-309,CLE,PHO,L (-11),43:13,27
2007-11-06,22-311,CLE,GSW,W (+4),41:51,24
2007-11-07,22-312,CLE,UTA,L (-2),40:45,32
2007-11-09,22-314,CLE,SAC,W (+2),43:51,26
2007-11-11,22-316,CLE,LAC,W (+8),35:55,22
2007-11-12,22-317,CLE,DEN,L (-22),33:47,27
2007-11-14,22-319,CLE,ORL,L (-1),47:14,39
2007-11-16,22-321,CLE,UTA,W (+5),40:16,40
2007-11-20,22-325,CLE,MIL,L (-4),44:06,34
2007-11-21,22-326,CLE,MIN,W (+11),39:03,45
2007-11-24,22-329,CLE,TOR,W (+3),44:41,37
2007-11-25,22-330,CLE,IND,W (+5),35:47,30
2007-11-27,22-332,CLE,BOS,W (+5),45:46,38
2007-11-28,22-333,CLE,DET,L (-35),19:31,15
2007-12-11,22-346,CLE,IND,W (+13),22:37,17
2007-12-14,22-349,CLE,NJN,L (-8),41:09,29
2007-12-15,22-350,CLE,PHI,L (-6),41:46,21
2007-12-17,22-352,CLE,MIL,W (+5),50:13,31
2007-12-19,22-354,CLE,NYK,L (-18),36:52,32
2007-12-20,22-355,CLE,LAL,W (+4),38:28,33
2007-12-23,22-358,CLE,GSW,L (-9),40:51,25
2007-12-25,22-360,CLE,MIA,W (+14),38:36,25
2007-12-27,22-362,CLE,DAL,W (+7),36:19,24
2007-12-29,22-364,CLE,NOH,L (-10),42:21,21
2008-01-02,23-003,CLE,ATL,W (+4),40:05,36
2008-01-04,23-005,CLE,SAC,W (+4),45:21,24
2008-01-06,23-007,CLE,TOR,W (+3),45:44,39
2008-01-08,23-009,CLE,SEA,W (+16),35:10,22
2008-01-09,23-010,CLE,ATL,L (-9),43:23,31
2008-01-11,23-012,CLE,CHA,W (+7),49:36,31
2008-01-15,23-016,CLE,MEM,W (+8),47:10,51
2008-01-17,23-018,CLE,SAS,W (+2),38:54,27
2008-01-21,23-022,CLE,MIA,W (+7),39:40,28
2008-01-23,23-024,CLE,WAS,W (+36),31:08,23
2008-01-25,23-026,CLE,PHO,L (-2),39:26,36
2008-01-27,23-028,CLE,LAL,W (+3),44:08,41
2008-01-30,23-031,CLE,POR,W (+1),43:53,37
2008-02-02,23-034,CLE,LAC,W (+14),43:48,28
2008-02-05,23-037,CLE,BOS,W (+1),42:24,33
2008-02-07,23-039,CLE,HOU,L (-15),41:13,32
2008-02-08,23-040,CLE,ATL,W (+5),44:00,26
2008-02-10,23-042,CLE,DEN,L (-30),32:36,30
2008-02-11,23-043,CLE,ORL,W (+7),43:51,29
2008-02-13,23-045,CLE,SAS,L (-7),42:44,39
2008-02-19,23-051,CLE,HOU,L (-8),42:08,26
2008-02-20,23-052,CLE,IND,W (+9),43:14,31
2008-02-22,23-054,CLE,WAS,W (+1),44:32,33
2008-02-24,23-056,CLE,MEM,W (+20),39:02,25
2008-02-26,23-058,CLE,MIL,L (-3),37:50,35
2008-02-27,23-059,CLE,BOS,L (-5),39:00,26
2008-02-29,23-061,CLE,MIN,W (+8),43:35,30
2008-03-02,23-063,CLE,CHI,W (+9),39:51,37
2008-03-05,23-066,CLE,NYK,W (+14),43:50,50
2008-03-06,23-067,CLE,CHI,L (-11),37:55,39
2008-03-08,23-069,CLE,IND,W (+8),38:13,38
2008-03-10,23-071,CLE,POR,W (+8),43:41,24
2008-03-12,23-073,CLE,NJN,L (-5),45:41,42
2008-03-13,23-074,CLE,WAS,L (-2),43:23,25
2008-03-16,23-077,CLE,CHA,W (+7),41:40,33
2008-03-17,23-078,CLE,ORL,L (-14),42:14,30
2008-03-19,23-080,CLE,DET,W (+16),41:04,30
2008-03-21,23-082,CLE,TOR,W (+7),41:24,29
2008-03-22,23-083,CLE,MIL,L (-10),38:35,29
2008-03-26,23-087,CLE,NOH,L (-1),40:33,21
2008-03-29,23-090,CLE,DET,L (-14),35:18,13
2008-03-30,23-091,CLE,PHI,W (+3),41:47,26
2008-04-02,23-094,CLE,CHA,W (+4),31:13,29
2008-04-03,23-095,CLE,CHI,L (-3),38:30,33
2008-04-05,23-097,CLE,ORL,L (-15),42:22,17
2008-04-09,23-101,CLE,NJN,W (+21),35:22,33
2008-04-11,23-103,CLE,CHI,L (-5),38:11,34
2008-04-13,23-105,CLE,MIA,W (+8),35:15,13
2008-04-14,23-106,CLE,PHI,W (+1),41:41,27
2008-10-28,23-303,CLE,BOS,L (-5),36:00,22
2008-10-30,23-305,CLE,CHA,W (+17),30:16,22
2008-11-01,23-307,CLE,NOH,L (-12),37:43,15
2008-11-03,23-309,CLE,DAL,W (+19),34:08,29
2008-11-05,23-311,CLE,CHI,W (+14),35:50,41
2008-11-07,23-313,CLE,IND,W (+4),39:20,27
2008-11-08,23-314,CLE,CHI,W (+9),39:12,41
2008-11-11,23-317,CLE,MIL,W (+6),42:46,41
2008-11-13,23-319,CLE,DEN,W (+11),38:02,22
2008-11-15,23-321,CLE,UTA,W (+12),42:03,38
2008-11-18,23-324,CLE,NJN,W (+24),35:58,31
2008-11-19,23-325,CLE,DET,L (-7),39:30,25
2008-11-22,23-328,CLE,ATL,W (+14),36:35,24
2008-11-25,23-331,CLE,NYK,W (+18),30:20,26
2008-11-26,23-332,CLE,OKC,W (+35),17:08,14
2008-11-28,23-334,CLE,GSW,W (+15),30:39,23
2008-11-29,23-335,CLE,MIL,W (+12),41:22,32
2008-12-03,23-339,CLE,NYK,W (+36),28:09,21
2008-12-05,23-341,CLE,IND,W (+24),37:37,11
2008-12-06,23-342,CLE,CHA,W (+20),27:40,25
2008-12-09,23-345,CLE,TOR,W (+20),30:24,31
2008-12-10,23-346,CLE,PHI,W (+8),39:04,29
2008-12-12,23-348,CLE,PHI,W (+16),36:50,28
2008-12-13,23-349,CLE,ATL,L (-5),45:40,33
2008-12-17,23-353,CLE,MIN,W (+23),39:38,32
2008-12-19,23-355,CLE,DEN,W (+17),38:45,33
2008-12-21,23-357,CLE,OKC,W (+11),42:46,31
2008-12-23,23-359,CLE,HOU,W (+9),38:20,27
2008-12-25,23-361,CLE,WAS,W (+4),38:13,18
2008-12-28,23-364,CLE,MIA,W (+7),42:31,33
2008-12-30,24-000,CLE,MIA,L (-9),43:29,38
2009-01-02,24-003,CLE,CHI,W (+25),37:16,16
2009-01-04,24-005,CLE,WAS,L (-3),40:46,30
2009-01-07,24-008,CLE,CHA,W (+30),30:59,21
2009-01-09,24-010,CLE,BOS,W (+15),35:49,38
2009-01-13,24-014,CLE,MEM,W (+15),40:12,30
2009-01-15,24-016,CLE,CHI,L (-9),44:19,28
2009-01-16,24-017,CLE,NOH,W (+14),42:59,29
2009-01-19,24-020,CLE,LAL,L (-17),42:10,23
2009-01-21,24-022,CLE,POR,W (+6),42:02,34
2009-01-23,24-024,CLE,GSW,W (+1),40:39,32
2009-01-24,24-025,CLE,UTA,W (+5),41:08,33
2009-01-27,24-028,CLE,SAC,W (+7),37:31,23
2009-01-29,24-030,CLE,ORL,L (-11),37:41,23
2009-01-30,24-031,CLE,LAC,W (+17),37:08,25
2009-02-01,24-033,CLE,DET,W (+10),38:50,33
2009-02-03,24-035,CLE,TOR,W (+18),37:31,33
2009-02-04,24-036,CLE,NYK,W (+5),44:03,52
2009-02-08,24-040,CLE,LAL,L (-10),40:08,16
2009-02-10,24-042,CLE,IND,L (-1),41:10,47
2009-02-11,24-043,CLE,PHO,W (+17),33:17,26
2009-02-18,24-050,CLE,TOR,W (+17),33:12,20
2009-02-20,24-052,CLE,MIL,W (+8),40:04,55
2009-02-22,24-054,CLE,DET,W (+21),30:34,20
2009-02-24,24-056,CLE,MEM,W (+15),29:40,15
2009-02-26,24-058,CLE,HOU,L (-19),33:51,21
2009-02-27,24-059,CLE,SAS,W (+11),32:08,30
2009-03-01,24-061,CLE,ATL,W (+1),43:43,26
2009-03-02,24-062,CLE,MIA,W (+7),43:40,42
2009-03-04,24-064,CLE,MIL,W (+18),33:12,23
2009-03-06,24-066,CLE,BOS,L (-11),38:17,21
2009-03-07,24-067,CLE,MIA,W (+10),43:19,14
2009-03-10,24-070,CLE,LAC,W (+4),43:42,32
2009-03-12,24-072,CLE,PHO,W (+8),43:27,34
2009-03-13,24-073,CLE,SAC,W (+3),46:59,51
2009-03-15,24-075,CLE,NYK,W (+5),39:52,19
2009-03-17,24-077,CLE,ORL,W (+4),42:40,43
2009-03-19,24-079,CLE,POR,W (+5),46:47,26
2009-03-21,24-081,CLE,ATL,W (+6),40:03,22
2009-03-22,24-082,CLE,NJN,W (+8),39:09,30
2009-03-25,24-085,CLE,NJN,W (+11),39:06,22
2009-03-27,24-087,CLE,MIN,W (+22),33:36,25
2009-03-29,24-089,CLE,DAL,W (+28),31:19,24
2009-03-31,24-091,CLE,DET,W (+6),40:36,25
2009-04-02,24-093,CLE,WAS,L (-8),38:20,31
